source,target,weight
cut a hole on the shell,fry or roast or braise,24
fry or roast or braise,take out the shell,29
fold or bent the paper,measure and label the lantern,16
cut the raw materials,measure and label the lantern,15
check the breath of the patient,check the pulse of the patient,8
check the pulse of the patient,check the pulse of the patient,1
do artificial breathing to the patient,press the chest of the patient,157
use the body wash,wash the body wash away,41
cut in half,peel,9
melt the sugar,soak sugar gourd in sugar,25
reset and screw on the screws,reset and screw on the screws,21
wipe the detergent,wipe the detergent,11
install the fan,install the motherboard,24
paste protector on the screen,remove the original protector,54
close cans,put the ingredients into the can,25
connect the wire again,install the light socket,19
install the bulb and light housing or shell,install the light socket,28
flip the clothes repeatly,hang the ironed clothes,1
apply detergent to bathtub,clean bathtub with water,10
wear the  contact lenses,wet and wash hands,4
wear the  contact lenses,wear the  contact lenses,22
fill the solution to the mark,seal the volumetric flask,6
fill the solution to the mark,invert the volumetric flask,25
pour the egg into the bowl,stir the egg,19
install the new chain,take old chain away,11
add baking soda to the sink hole,add vinegar to the sink hole,43
add vinegar to the sink hole,turn on the water tap to wash,5
pour the ingredients into the bowl,stir the mixture,177
stir the mixture,stir the mixture,32
pour the ingredients into the bowl,pour the ingredients into the bowl,31
knot the rope,show the whole rope again,80
transfer pattern to board or tarpaulin,transfer pattern to board or tarpaulin,2
set up the platfond,set up the platfond,3
collect blood,disinfect,6
install the screws and sheetmetals and baffles onto the hard disk tray,screw off the screws and sheetmetals and baffles on the both sides of the CD drive,11
install the screws and sheetmetals and baffles onto the hard disk tray,install the screws and sheetmetals and baffles onto the hard disk tray,1
insert the hard disk tray into the position of the CD drive,install the screws and sheetmetals and baffles onto the hard disk tray,17
cut potato into strips,dry strips,9
apply some glue on the borads,prepare the ground floor,4
open the lid of new container,take out old grease container,1
screw gun head back,take out old grease container,2
put in a new grease container,screw gun head back,15
apply a cover on the soil,sow on the soil,3
aim at the pin,aim at the pin,7
push the pin in,remove the old watch band and reconnect,28
install head of the bed,place the board on each side,14
place mattress on the bed,place the bed board,10
absorb some ink slowly,take off the shell,15
clean weld line with a hammer,weld along the weld line,17
open cover,put battery in,15
close cover,open cover,12
scrub the toilet interior,scrub the toilet interior,15
apply detergent to the external side,scrub the toilet interior,2
wet and wash the hair,wrap the hair by hands,17
juice the oranges,pour the orange juice into the cup,26
close the sluice and empty and disconnect the water pipe,connect the water pipe,6
remove the light shell/housing/support,take out the old bulb,37
install the new bulb,remove the light shell/housing/support,20
put down the hair and comb,put down the hair and comb,7
cut off the edge,peel,5
dig out the seeds with spoon,peel,5
install the new air nozzle,remove the air nozzle,34
pour into the ingredients,pour into the ingredients,25
pour into the ingredients,shake the mixture,33
pour in after mix it,shake the mixture,26
collect blood,pull out the needle and press with cotton,26
put the sample to be measured on the balance,put the weight until the balance is balanced,32
exit from the area and salute,march into the area and salute,2
apply toothpaste or other cleaning agent to scratch,wipe the scratch with cloth,38
apply toothpaste or other cleaning agent to scratch,wipe the toothpaste,5
wipe the scratch with cloth,wipe the toothpaste,16
wipe the scratch with cloth,wipe the scratch with cloth,5
show the glass to the audience,show the glass to the audience,11
show the vanished glass,show the vanished glass,4
apply cleaning agent,apply cleaning agent,7
pour raw materials,pour raw materials,32
pour raw materials,shape cookie,12
mix raw materials,shape cookie,17
put the quilt on the bed,put the quilt on the bed,2
put the pillow on the bed,put the quilt on the bed,23
open the bottle carefully,open the bottle carefully,10
install the new wax ring,take down the closestool,5
insert the earplugs into the ears,roll and rub the earplugs,23
install the new bulb,install the new bulb,5
bent the paperclips by hands,insert the paperclips into the lock hole,19
lift the barbell directly over the head,lift the barbell directly over the head,24
stand up with straight legs,stand up with straight legs,11
soak them in water,soak them in water,12
cut the rope,cut the rope,2
cut into strips and pieces,cut into strips and pieces,6
put seasoning in the egg,put seasoning in the egg,4
hold electrode with a welding tong,wear a eye protection helmet,6
package and freeze,stir the mixture,29
flush and wash the interior,wipe the external side,3
apply detergent to the intertior of the toilet,wipe the external side,2
fix window board,install window panel,14
place board at the bottom,place the board on each side,5
place board at the bottom,place the bed board,1
place board at the bottom,place mattress on the bed,2
run the soy milk maker,run the soy milk maker,2
filtrate with a filter,run the soy milk maker,6
fill the tree into the pit,fill the tree into the pit,3
fill the pit with some soil,fill the pit with some soil,11
cover injury with bandage,wind legs with bandage,24
remove the light housing or shell and bulb,remove the light housing or shell and bulb,9
connect the wire again,install the bulb and light housing or shell,12
remove the old graphics card,take out the shell,5
correct the balance zero,put the sample to be measured on the balance,10
remove the air nozzle,tighten the valve and screw on the valve cap,20
put in the battery,put in the battery,1
disinfect,tie the tourniquet,7
begin to practise karate,begin to practise karate,3
blow the raw sugar,paint on sugar,20
bring the frisbee back,bring the frisbee back,24
install fan frame,install fan tray,10
install fan tray,install fan tray,2
connect the wire again,connect the wire again,1
cut oranges,juice the oranges,22
pour the noodles into the water and stir,pour the noodles into the water and stir,2
place a piece of paper on weighing pan,place weighing sample on weighing pan and read,10
prepare a vacant vessel,put the melted soap block into the vessel,6
prepare a vacant vessel,prepare a vacant vessel,1
prepare a vacant vessel,take out after freezing,4
push the pin in,push the pin in,4
paste protector on the screen,wipe screen,35
install the closestool again,install the new wax ring,14
fold or bent paper,fold or bent paper,5
paint on the paper,put paper together,4
pump up to the tire,screw off the valve cap and open the valve,13
pump up to the tire,tighten the valve and screw on the valve cap,14
use electricity meter to check the power supply,use screwdriver or electirc screwdriver to release the wire in the wall from the switch,2
use screwdriver or electirc screwdriver to release the wire in the wall from the switch,use screwdriver or electirc screwdriver to release the wire in the wall from the switch,1
reset the switch and screw on the screws used to fix the switch,use screwdriver or electirc screwdriver to release the wire in the wall from the switch,2
knead together,pour raw materials,6
cut into strips,knead together,3
"process (crop, fold) paper",stick handle to paper basket,29
pump up the tire,remove the tire,3
load the tire,pump up the tire,8
install the air nozzle,remove the air nozzle,10
remove the air nozzle,screw off the valve cap and open the valve,3
rub and drag the materials,rub and drag the materials,20
add different kinds of ingredients,rub and drag the materials,67
lighten the lighter to check,press the fuel nozzle,14
melt the wax with water,pour the wax into the vessel,18
pull out the insurance ring,spray experimentally to check,9
spray experimentally to check,spray towards the fire,10
check the breath of the patient,press the chest of the patient,35
knead the dough,knead the dough,9
unroll the dough,unroll the dough,15
fall to the ground,ski down from the hill,43
fall to the ground,rise to the sky,69
rise to the sky,ski up from the hill,65
fall to the ground,ski up from the hill,13
fall to the ground,fall to the ground,30
pull the barbell to the chin,pull the barbell to the chin,13
lift the barbell from the chin over the head,squat and hold the barbell,16
squat and hold the barbell,stand up with straight legs,27
add water to Neti Pot,shake and stir,17
screw off the screws,screw on the screws,7
screw off the screws,screw off the screws,4
remove the drumhead,screw off the screws,15
replace with the new drumhead,screw off the screws,7
remove the drumhead,replace with the new drumhead,15
remove the drumhead,screw on the screws,8
spray the cleaning agent on the car window,wipe off the cleaning agent,6
process the copper wire inside the earphone cable,wrap in foil paper,11
remove the toy and paper bed from the hamster cage,remove the toy and paper bed from the hamster cage,10
insert a new toner cartridge,insert a new toner cartridge,13
comb the hair with a comb,scratch the hair carefully,12
place gasket at injury,wind bandage around head,16
knot at the end of the bandage,wind bandage around head,39
drill with an electric drill,find the position of the hole,13
use the needle to open the SIM card slot,use the needle to open the SIM card slot,1
put the washed rice into the rice cooker,put the washed rice into the rice cooker,10
press the chest of the patient,press the chest of the patient,37
check the breath of the patient,do artificial breathing to the patient,46
do artificial breathing to the patient,do artificial breathing to the patient,22
put in the oil to fry,put in the oil to fry,16
look for leaks,use sandpaper/metal to polish rubber near leak,23
paste patch,put inner tube back,16
drill in the wall,drill in the wall,2
drill in the wall,install two shelves,17
install two shelves,place crossbar on shelves,12
hang up curtains,install two shelves,12
hang up curtains,place crossbar on shelves,9
pour salt and rust removal liquid,rinse the pot,12
install the new graphics card,remove the old graphics card,14
shave carefully on the face,shave carefully on the face,15
shave carefully on the face,wipe up the face,19
mop the floor,sweep the floor,1
sweep the floor,use vacuum cleaner to clean,1
mop the floor,use vacuum cleaner to clean,6
install the light shell/housing/support,take out the old bulb,13
disinfect the injecting place,inject to the muscular,22
ink the marked area,ink the marked area,12
pour into a glass,run the soy milk maker,4
put battery in,remove battery,10
reconnect the electric wire,reinstall the rearview mirror,37
install the insulated shim,remove the old wrapper,2
install the insulated shim,wrap with the new wrapper,3
sow on the soil,sow on the soil,6
add raw materials,put materials into mold,15
mix raw materials,put materials into mold,29
mix raw materials,take out chocolate,11
put materials into mold,take out chocolate,20
replace the battery,replace the battery,13
remove the label,wipe screen,6
get an iron prepared,iron the cloths with the iron,11
fold the squares inward and fix them,fold the squares inward and fix them,4
absorb liquid with dropper,calibrate the liquid,34
calibrate the liquid,release liquid,31
install armrest on sofa,install legs of sofa,7
string together,string together,3
measure and label the lantern,nail down or stick together,9
nail down or stick together,put the candle in the lantern,1
get an iron prepared,make the clothes wet,2
get an iron prepared,put the clothes neatly on a ironing table,8
iron the cloths with the iron,make the clothes wet,4
clean the window surface,press the sticker,5
cut into strips and pieces,cut the flesh,16
put the sticker on the window,tear off the other side of the sticker,15
install sponge strip,install window panel,3
fix window board,install sponge strip,3
check the foreign matter in the mouse,press the chest of the patient,1
check the foreign matter in the mouse,do artificial breathing to the patient,2
install peripherals inside the case,install peripherals inside the case,11
cut along the edges,cut along the edges,6
assemble the frame,install vertical boards,8
clean up and soak,cut a hole on the shell,16
clean up and soak,fry or roast or braise,8
buckle the cap,remove cap,13
put the SIM card into the SIM card slot,put the SIM card into the SIM card slot,1
clean wall with a clean cloth,use a hair dryer to blow hot wall,28
wind legs with bandage,wind legs with bandage,5
scrape tarpaulin without ink,transfer pattern to board or tarpaulin,6
polish the floor,wash the floor,5
put nicely and align the quilt and the cover,take out the quilt cover from another side,9
pour the egg into the bowl,put seasoning in the egg,5
screw off the screws and sheetmetals and baffles on the both sides of the CD drive,take out the laptop CD drive,9
install the SSD onto the hard disk tray,screw off the screws and sheetmetals and baffles on the both sides of the CD drive,3
begin to jump up,begin to jump up,33
begin to run up,begin to run up,25
run the toaster and adjust,take out the slice of bread,16
cut off the electric wire,reconnect the electric wire,12
open the car key cover,put in the battery,3
close the car key cover,take out the car key battery,4
cut a hole on the shell,cut a hole on the shell,9
pour the egg into the pot,pour the egg into the pot,4
bent the paperclips by hands,squeeze the paperclips by hands,13
brush sauce or sprinkle seasoning,prepare seasonings and side dishes,1
push curling,push curling,4
brush ice floor,brush ice floor,8
wipe screen,wipe screen,10
insert money into the vending machine,insert money into the vending machine,7
cut in half,remove the peel,12
pour the orange juice into the cup,pour the orange juice into the cup,1
juice the oranges,juice the oranges,12
place label,place label,1
peel off the garlics,smash the garlics with the knife face,25
cut up the garlics,peel off the garlics,24
remove the drumhead,remove the drumhead,1
close the sluice and empty and disconnect the water pipe,take down the closestool,5
close the sluice and empty and disconnect the water pipe,remove the old wax ring and clean,2
remove the old wax ring and clean,take down the closestool,5
connect the water pipe,take down the closestool,1
connect the water pipe,remove the old wax ring and clean,1
apply detergent,wash the floor,13
twist the paperclips by hands,twist the paperclips by hands,19
remove the head,remove the shrimp shell,25
remove the shrimp shell,remove the tail,8
remove the tail,remove the vein,8
draw black patterns,draw black patterns,5
deflate the tyre first,inflate the tyre after replacement,1
cut oranges,pour the orange juice into the cup,4
pour raw materials,stir raw materials,22
knead together,stir raw materials,10
cut into strips,flatten the dough,14
flatten the dough,press the strips in the middle with a board,1
cut into strips,press the strips in the middle with a board,7
install the air nozzle,tighten the valve and screw on the valve cap,1
insert the key repeatly,insert the key repeatly,12
hold the gun end and let the gun head aim at the tag brand,trigger and take out the needle head,23
install fan tray,install fans and lights,11
clean inner wall of container,place weighing sample on weighing pan and read,9
place license plate cover,screw and fix the cover,17
place license plate,place license plate cover,7
screw and fix the cover,screw and fix the cover,5
take off the shell,take off the shell,6
clean the fountain pen with napkin,take off the shell,1
apply detergent to bathtub,make the detergent,5
line up for admission,raise the national flag,12
expand the flag,line up for admission,13
install vertical boards,install vertical boards,2
insert the quilt into the quilt cover,put the sheet on the bed,7
insert the quilt into the quilt cover,put the quilt on the bed,11
adjust front and back position,drive the car forward,7
adjust front and back position,adjust front and back position,1
drive the car backward,drive the car backward,3
raise the jack up,set the underprop,35
let the jack down,set the underprop,8
cut off the edge,slice the pulp,2
take out some rice,take out some rice,1
take out the old bulb,take out the old bulb,3
reinstall the rearview mirror,remove the old rearview mirror,7
heat the pot,rub back and forth with potatoes or rust remover,7
add some oil to the pot,heat the pot,12
heat the pot,heat the pot,1
paste patch,use sandpaper/metal to polish rubber near leak,16
stir the egg,stir the egg,6
fix the candle wick,pour the wax into the vessel,14
install the new bolt,remove the door knob,4
cut into small pieces,prepare the filler,1
install the new screen,install the new screen,8
move the toy and paper bed into the hamster cage,move the toy and paper bed into the hamster cage,15
press the SIM card slot back,use the needle to open the SIM card slot,15
decorate the ice cream,pour the ingredients into the bowl,5
fit on the shell,install the new graphics card,6
remove the shrimp shell,remove the shrimp shell,8
insert the glue needle,remove the protecting cover of the gun head,9
pump up the fuel,pump up the fuel,8
unscrew the screws used to fix the screen,unscrew the screws used to fix the screen,7
wipe screen,wipe screen again,2
wipe screen again,wipe screen again,4
combine meat and bread to make burger,combine meat and bread to make burger,7
apply detergent to leather,clean the surface,12
raise the national flag,raise the national flag,7
draw black patterns,scrape tarpaulin without ink,13
fit on the filter,press the resetting button,3
fit on the shell,press the resetting button,10
load the inner tube,load the inner tube,1
add ice cubes,shake and juice,11
bake cookies,shape cookie,12
install the new bolt,remove the bolt and pin board,9
remove the bolt and pin board,remove the bolt and pin board,12
drill in the wall,place crossbar on shelves,6
drill in the wall,hang up curtains,4
knead together,knead together,1
flatten the dough,knead together,6
install the sofa back,put every parts mentioned together,5
install legs of sofa,put every parts mentioned together,10
ski down from the hill,ski up from the hill,49
ski down from the hill,ski down from the hill,49
ski up from the hill,ski up from the hill,3
prepare the frame,prepare the frame,9
scratch scales,scratch scales,2
correct the balance zero,put the weight until the balance is balanced,9
screw on the screws,screw on the screws,19
put the filler on the bread slice,put the filler on the bread slice,1
stir the ingredients,stir the ingredients,9
arrange the seperated wire,arrange the seperated wire,8
cut potato into strips,put in the oil to fry,2
remove the components of the fixed battery,remove the tape of the fixed battery,10
remove the tape of the fixed battery,take down the old battery,8
put on new tape,take down the old battery,2
load a new battery,put on new tape,4
melt the soap block,put the melted soap block into the vessel,19
cook the rice by rice cooker,take out some rice,2
cook the rice by rice cooker,soak and wash the rice,8
take out the toner cartridge,take out the toner cartridge,8
shave roughly on the face,shave roughly on the face,13
apply shaving cream to the face,wipe up the face,8
do facial care carefully,wipe up the face,7
insert the stapler pins,insert the stapler pins,2
clean the inside of the button,pick up the button,5
call emergency number,press the chest of the patient,1
cover with some soil,dig some holes on the soil,11
cover with some soil,prepare the soil carefully,2
fix the candle wick,melt the wax with water,8
fry or roast or braise,fry or roast or braise,8
take out the shell,take out the shell,4
cut the rope,show the whole rope again,25
place weighing sample on weighing pan and read,place weighing sample on weighing pan and read,6
install the laptop rear cover,install the laptop rear cover,9
pour into the ingredients,stir the mixture,25
pass the basketball into the hole at the first time,pass the basketball into the hole at the first time,2
push the pin out,put the pin in,8
mix and pickle,roast ingredients,1
hold the gun end and let the gun head aim at the tag brand,insert the glue needle,16
smash the garlics with the knife face,smash the garlics with the knife face,14
fill the pit with some soil,pour water to the tree,21
install the new pin board,install the new pin board,6
install the new door knob,install the new door knob,6
collect blood,tie the tourniquet,4
load a new battery,remove the tape of the fixed battery,1
fill with some soil,fill with some soil,5
melt the wax with water,put the candle wick into a vessel,2
melt the wax with water,melt the wax with water,7
melt the wax with water,wait for the candle until concretion,5
pour the wax into the vessel,wait for the candle until concretion,24
apply detergent,use vacuum cleaner to clean,1
use vacuum cleaner to clean,wash the floor,3
mop the floor,wash the floor,18
pull the ears outwards,pull the ears outwards,1
install the bulb and light housing or shell,remove the light housing or shell and bulb,22
install the bulb and light housing or shell,install the bulb and light housing or shell,8
assemble the frame,assemble the frame,3
solder the headset cable to the Bluetooth module,wrap in copper wire,1
let the jack down,raise the jack up,13
install two shelves,install two shelves,4
cut both ends and remove fruit seeds,cut both ends and remove fruit seeds,2
check the breath of the patient,check the breath of the patient,7
install the motherboard,install the motherboard,4
cut the raw boards,cut the raw boards,2
install fan frame,install fans and lights,9
install the light socket,install the light socket,2
install armrest on sofa,put on sofa cover,7
press the fuel nozzle,press the fuel nozzle,4
press the fuel nozzle,pump up the fuel,19
pour the solution to the volumetric flask,seal the volumetric flask,6
pull the barbell to the chin,put down the barbell,45
cut off and remove the old string,fix the new string on the head of the guitar,3
apply glue,look for leaks,7
look for leaks,paste patch,8
apply glue,use sandpaper/metal to polish rubber near leak,22
apply glue,paste patch,25
apply glue,put inner tube back,2
pour into a glass,pour some water to the soy milk maker,4
absorb liquid with dropper,absorb liquid with dropper,5
comb the hair with a comb,wet and wash the hair,6
pin the hair with some hairpins,wet and wash the hair,18
comb the hair with a comb,pin the hair with some hairpins,3
apply the shampoo or hair conditioner,pin the hair with some hairpins,4
pin the hair with some hairpins,scratch the hair carefully,8
scratch the hair carefully,wrap the hair by hands,6
open the fuel tank cap,open the fuel tank cap,3
open the bottle carefully,tear out the foil,9
heat the teapot and wash the cup,prepare and add the tea,4
connect the water pipe,install the closestool again,4
invert the volumetric flask,pour the solution to the volumetric flask,16
fill the gap,prepare adhesive,5
cut the tarpaulin,ink the marked area,1
cut the tarpaulin,transfer print,2
clean the floor,polish the floor,4
apply the cleaning agent with towel evenly,apply the cleaning agent with towel evenly,7
add a small amount of salt to Neti Pot,add water to Neti Pot,20
cut both ends and remove fruit seeds,slice the pulp,6
line up the protector and the cellphone,line up the protector and the cellphone,2
pick up the button,power off,3
pick up the button,pick up the button,4
wipe the toothpaste,wipe the toothpaste,3
fry the dough,fry the dough,1
pull out a lock lever at bottom of gun,unscrew gun head,12
put in a new grease container,unscrew gun head,5
screw gun head back,"try to press gun head, spray residual old grease",17
install the wiper back,put the new rubber sleeve into the wiper head,6
ajust the chain length,install the new chain,3
ajust the chain length,link the new chain,4
connect the wire again,remove the light socket and disconnect the wire,5
run the toaster and adjust,run the toaster and adjust,2
invert the volumetric flask,invert the volumetric flask,3
install armrest on sofa,install stand of the seat,9
place cushion and backrest,put on sofa cover,9
add decoration,add decoration,2
remove the head,remove the tail,1
bake cookies,mix raw materials,2
cut the headphone cable,wrap in foil paper,3
add a small amount of salt to Neti Pot,fill a nostril with saline and do the same to the other nostril,7
install armrest on sofa,install the sofa back,6
open the lid of new container,pull out a lock lever at bottom of gun,8
add some water to the tea,heat the teapot and wash the cup,9
add some ingredients to the tea,heat the teapot and wash the cup,2
pick up the button,wipe the keyboard,1
close the front door or cover of the printer,close the front door or cover of the printer,1
push the pin out,push the pin out,7
install armrest on sofa,install armrest on sofa,1
install legs of sofa,install the sofa back,20
check the type of the back cover,check the type of the back cover,2
add a small amount of salt to Neti Pot,add a small amount of salt to Neti Pot,2
put the pillow on the bed,put the sheet on the bed,12
set up the brackets,set up the brackets,6
fold or bent the paper,fold or bent the paper,11
pour some glue to the face,reveal the glue from the face,7
operate the control panel,operate the control panel,4
show the money to the audience,show the money to the audience,3
close the fuel tank cap,operate the control panel,2
put the thread on the spool,thread thorugh the needle,2
unscrew the screw,unscrew the screw,6
press the corresponding button,press the corresponding button,5
take out the goods,take out the goods,6
add baking soda to the sink hole,add hot water to the sink hole,10
add hot water to the sink hole,add vinegar to the sink hole,16
add hot water to the sink hole,turn on the water tap to wash,6
move the toy and paper bed into the hamster cage,remove the hamster from the hamster cage,3
combine meat and bread to make burger,knead the meat,4
cut the headphone cable,cut the headphone cable,9
process the copper wire inside the earphone cable,process the copper wire inside the earphone cable,7
process the copper wire inside the earphone cable,solder the headset cable to the Bluetooth module,6
solder the headset cable to the Bluetooth module,wrap in foil paper,7
decorate with fruit,pour in after mix it,11
cut the rubber,glue on the paddle,2
add detergent and make bubble,wipe the dish,10
add detergent and make bubble,rinse the dish,7
load the tire,remove the tire,23
put a slice of bread in,take out the slice of bread,15
cut both ends and remove fruit seeds,cut in half,6
remove the peel,remove the peel,8
tighten screws,unscrew the screw,17
fill the tree into the pit,pour water to the tree,5
show the whole rope again,show the whole rope again,13
screw on the screw,screw on the screw,2
disinfect the injecting place,pull out the needle and press,2
cut the flesh,peel,1
melt the soap block,melt the soap block,4
melt the soap block,prepare a vacant vessel,5
melt the soap block,take out after freezing,3
cut the rubber,glue on the back of the rubber,4
melt the sugar,string the fruit together,12
close up the cover,open up the cover,4
clean toys and hamster cages,remove the hamster from the hamster cage,4
screw gun head back,screw gun head back,2
dip detergent with rag or apply detergent,wash the floor,3
clean up the interior of thepumpkin,draw an outline,13
take out the old rubber sleeve from the wiper head,take out the wiper,3
take out the blade from the old rubber sleeve,take out the wiper,1
put the balde into the new rubber sleeve,take out the wiper,1
put the balde into the new rubber sleeve,take out the old rubber sleeve from the wiper head,5
put the balde into the new rubber sleeve,take out the blade from the old rubber sleeve,3
put the new rubber sleeve into the wiper head,take out the blade from the old rubber sleeve,1
roast ingredients,roast ingredients,6
brush sauce or sprinkle seasoning,roast ingredients,2
add some ingredients to the tea,pour the tea into the vessel,2
apply detergent to the intertior of the toilet,apply detergent to the intertior of the toilet,4
flip the clothes repeatly,get an iron prepared,3
screw off the screws and sheetmetals and baffles on the both sides of the CD drive,screw off the screws and sheetmetals and baffles on the both sides of the CD drive,1
pull out a lock lever at bottom of gun,put in a new grease container,9
open the lid of new container,open the lid of new container,5
apply some glue on the borads,apply some glue on the borads,8
pave the box bottom with paper scraps,pave the box bottom with paper scraps,2
pave the box bottom with paper scraps,put the hamster into the hamster cage,3
check ground and layout planning,wipe adhesive and bedding layer,4
remove the inner tube,remove the tire,17
load the tire,remove the inner tube,6
load the inner tube,remove the tire,3
use the body wash,use the body wash,12
check ground and layout planning,prepare adhesive,2
prepare adhesive,tile the wall,4
cut tiles,cut tiles,2
cut the packing paper,cut the packing paper,7
open the sluice and test the new faucet,open the sluice and test the new faucet,3
soak sugar gourd in sugar,soak sugar gourd in sugar,3
use screwdriver or electirc screwdriver to screw the wire in the wall into the screw of the new switch,use screwdriver or electirc screwdriver to screw the wire in the wall into the screw of the new switch,9
close cover,remove battery,4
pour the wax into the vessel,put the candle wick into a vessel,11
inject the ink to the cartridge,take out the label,10
flatten the dough,fry the dough,3
pour the egg into the pot,stir the egg,10
connect air conditioners and windows,fix window board,14
nail down or stick together,nail down or stick together,12
absorb some ink slowly,absorb some ink slowly,3
lighten the lighter to check,lighten the lighter to check,8
remove the tire,unload the wheel,9
load the tire,load the wheel,1
paste protector on the screen,paste protector on the screen,13
bent the paperclips by hands,twist the paperclips by hands,17
cut the packing paper,decorate the wrapped gift,3
clean inner wall of container,zeroing set,2
clean the wall,paste and level the wallpaper,4
deflate the tyre first,remove the air nozzle,2
wear a eye protection helmet,wear a eye protection helmet,1
install the new pin board,remove the bolt and pin board,7
grind roundly and evenly,grind roundly and evenly,9
put the sheet on the bed,put the sheet on the bed,7
insert the pillow into the pillow cover,put the sheet on the bed,7
prepare meat,roast ingredients,1
cut the wide side,peel,3
apply the shampoo or hair conditioner,wrap the hair by hands,3
screw on the screw,unscrew the screw and take out the needle,3
knock in the nails,knock in the nails,1
clean wall with a clean cloth,clean wall with a clean cloth,14
use a hair dryer to blow hot wall,use a hair dryer to blow hot wall,5
fry the dough,pour raw materials,1
cut the bandage,wind legs with bandage,20
install armrest on sofa,put every parts mentioned together,5
stir raw materials,stir raw materials,1
paint on sugar,paint on sugar,4
decorate with fruit,decorate with fruit,2
install head of the bed,place the bed board,3
prepare and boil water,prepare and boil water,2
add some ingredients to the tea,prepare and add the tea,5
pull the barbell to the chin,squat and hold the barbell,30
cut the tarpaulin,transfer pattern to board or tarpaulin,1
fit on the filter,take out the shell,12
clean the surface,polish with polisher,3
remove the light shell/housing/support,remove the light shell/housing/support,2
fix the wind mill on the bracket,fix the wind mill on the bracket,1
install the sofa back,place cushion and backrest,10
remove the vein,remove the vein,7
pump up to the tire,pump up to the tire,2
turn the suspension link,turn the suspension link,3
put down the barbell,squat and hold the barbell,25
put and arrange nicely,put and arrange nicely,4
apply the shampoo or hair conditioner,make the hair dry,4
insert the paperclips into the lock hole,squeeze the paperclips by hands,4
cone the leaves,fold the leaves,8
cut into small pieces,fry or grill,13
squeeze the paperclips by hands,twist the paperclips by hands,2
insert the paperclips into the lock hole,insert the paperclips into the lock hole,4
tighten screws,tighten screws,8
use dried flower to place pattern and fix it,use dried flower to place pattern and fix it,2
put in a new grease container,"try to press gun head, spray residual old grease",5
"process (crop, fold) paper","process (crop, fold) paper",3
open the fuel tank cap,operate the control panel,9
put dish in dishwasher,rinse the dish,1
rinse the dish,take dish out,1
bring the frisbee back,catch the frisbee with mouse,12
catch the frisbee with mouse,chase for the frisbee,65
ink the marked area,transfer pattern to board or tarpaulin,1
cut the flesh,remove the core,9
crop the wallpaper,measure and mark the wall,13
crop the wallpaper,crop the wallpaper,3
knot at the end of the bandage,knot at the end of the bandage,3
add tea powder,prepare tea pots and tea bowls,1
insert a new toner cartridge,open the front door or cover of the printer,4
close the front door or cover of the printer,open the front door or cover of the printer,3
peel off the garlics,peel off the garlics,6
hang up curtains,hang up curtains,2
aim at the pin,put the pin in,3
aim at the pin,push the pin in,2
push the pin in,push the pin out,2
filtrate with a filter,pour some water to the soy milk maker,1
install the door,remove surface of the door,1
close the sluice and empty and disconnect the water pipe,remove the old faucet,6
close the sluice and empty and disconnect the water pipe,install the new faucet,3
install the new faucet,remove the old faucet,2
put the new rubber sleeve into the wiper head,put the new rubber sleeve into the wiper head,1
spray towards the fire,spray towards the fire,7
install the new hard disk,open the laptop rear cover,1
install the laptop rear cover,remove the old hard disk,1
wait for the candle until concretion,wait for the candle until concretion,3
put the hamster back into the hamster cage,remove the hamster from the hamster cage,1
paste paper into base of paper basket,"process (crop, fold) paper",10
cut a certain length,cut a certain length,1
install armrest on sofa,place cushion and backrest,3
check the pulse of the patient,press the chest of the patient,10
fit on the shell,take out the filter,6
fix the candle wick,fix the candle wick,1
place label,remove the label,3
apply toothpaste or other cleaning agent to scratch,apply toothpaste or other cleaning agent to scratch,1
dig a pit with proper size,dig a pit with proper size,1
dig a pit with proper size,pour water to the tree,4
dig a pit with proper size,fill the pit with some soil,3
make the clothes wet,make the clothes wet,1
pour water to the tree,pour water to the tree,3
brew the coffee beans,filtrate the coffee beans,13
scrape tarpaulin without ink,scrape tarpaulin without ink,10
pour the solution to the volumetric flask,pour the solution to the volumetric flask,6
remove the old watch band and reconnect,remove the old watch band and reconnect,1
connect air conditioners and windows,install sponge strip,2
open the laptop rear cover,open the laptop rear cover,10
fit on the shell,take out the shell,5
take down the closestool,take down the closestool,1
prepare meat,string together,1
paste patch,remove inner tube,1
load the wheel,unload the wheel,1
install legs of sofa,put on sofa cover,3
wind bandage around head,wind bandage around head,3
install peripherals inside the case,install peripherals outside the case,1
install peripherals outside the case,plug cable and wire,1
install the SSD onto the hard disk tray,take out the laptop CD drive,4
glue on the back of the rubber,put rubber on paddle,8
do facial care carefully,shave roughly on the face,2
remove the core,remove the core,2
clean the scratch,clean the surface,1
clean the inside of the button,clean the inside of the button,4
pull out the screen connector and remove the screen,pull out the screen connector and remove the screen,6
check the type of the back cover,replace the battery,3
pour the wax into the vessel,pour the wax into the vessel,10
ink the marked area,mark the area that needs to be inked,2
put the new rubber sleeve into the wiper head,take out the wiper,1
set different kinds of hamster toys,set different kinds of hamster toys,3
clean the hamster box,clean the hamster box,3
prepare and add the tea,prepare and add the tea,2
boil water or coffee,filtrate the coffee beans,2
press the strips in the middle with a board,press the strips in the middle with a board,6
screw off the screws used to fix the switch,use screwdriver or electirc screwdriver to release the wire in the wall from the switch,4
check the old chain,take old chain away,2
dip detergent with rag or apply detergent,make the detergent,1
clean the floor,make the detergent,2
